,Closest City name,Closest Country code,Latitude,Longitude,Temperature,Wind speed,Humidity,Cloudiness
387,agirish,ru,-29.46,149.84,24.73,3.42,69.0,0.0
389,port hueneme,us,0.54,123.06,25.55,1.02,87.0,24.0
390,xai-xai,mz,-23.12,-134.97,25.65,5.72,100.0,64.0
391,le port,re,5.56,95.32,23.08,1.12,100.0,32.0
392,tabou,ci,62.32,27.87,-20.0,3.1,70.0,0.0
393,cam ranh,vn,9.04,-69.74,28.98,2.37,51.0,8.0
394,hithadhoo,mv,42.04,0.13,0.0,4.6,78.0,8.0
395,filingue,ne,-29.77,-57.08,23.0,4.1,83.0,40.0
396,aykhal,ru,-20.07,146.27,26.83,2.87,100.0,44.0
397,yoichi,jp,-9.8,-139.03,27.58,6.02,99.0,8.0
398,bud,no,66.08,33.04,-16.4,2.57,69.0,0.0
399,acajutla,sv,8.53,34.8,17.88,1.12,82.0,44.0
400,tangshan,cn,78.22,15.64,3.0,14.9,95.0,90.0
401,sikea,gr,-19.55,169.27,27.8,5.17,100.0,76.0
402,hermanus,za,36.16,-85.5,15.0,2.6,56.0,1.0
403,lorengau,pg,42.84,93.51,-5.18,1.67,73.0,0.0
404,cidreira,br,32.94,50.12,-7.8,0.97,71.0,88.0
405,pili,ph,-25.41,-70.49,15.65,1.22,82.0,0.0
406,morro bay,us,36.43,-99.39,18.0,9.8,11.0,1.0
407,murgab,tm,-35.26,174.12,25.0,3.32,57.0,0.0
408,adamclisi,ro,60.4,-1.35,3.0,6.7,86.0,20.0
409,gorontalo,id,38.09,-1.8,0.63,0.97,82.0,68.0
410,dabakala,ci,45.32,55.19,0.33,1.32,97.0,88.0
411,bonfim,br,-20.77,117.15,25.85,4.02,48.0,0.0
412,iqaluit,ca,71.97,114.09,-32.45,1.32,41.0,76.0
413,belushya guba,ru,62.58,6.12,-1.0,7.2,80.0,20.0
414,mareeba,au,5.02,25.13,20.9,1.12,95.0,36.0
415,chokurdakh,ru,1.51,21.07,21.9,1.07,96.0,12.0
416,aktau,kz,-0.74,-90.35,28.0,3.6,74.0,40.0
417,acarau,br,41.4,28.38,7.0,6.7,93.0,75.0
418,carnarvon,au,-27.99,153.34,23.0,7.2,78.0,40.0
419,mengcheng,cn,70.03,20.97,-4.13,4.52,100.0,0.0
420,algiers,dz,-3.41,-39.03,28.0,2.6,74.0,20.0
422,izhma,ru,7.77,81.61,23.98,1.52,100.0,92.0
424,mpraeso,gh,1.32,32.46,16.88,3.92,99.0,24.0
425,huarmey,pe,-22.95,14.51,16.0,1.5,77.0,0.0
